iter	Passed	Remaining
1590	8439	2169
1591	8444	2164
1592	8449	2158
1593	8454	2153
1594	8459	2148
1595	8464	2142
1596	8469	2137
1597	8474	2131
1598	8479	2126
1599	8484	2121
1600	8489	2115
1601	8494	2110
1602	8500	2105
1603	8505	2099
1604	8510	2094
1605	8515	2089
1606	8520	2083
1607	8525	2078
1608	8531	2073
1609	8536	2067
1610	8541	2062
1611	8546	2057
1612	8551	2051
1613	8557	2046
1614	8562	2041
1615	8567	2035
1616	8572	2030
1617	8577	2025
1618	8582	2019
1619	8587	2014
1620	8593	2009
1621	8598	2003
1622	8603	1998
1623	8608	1993
1624	8613	1987
1625	8618	1982
1626	8623	1977
1627	8629	1971
1628	8634	1966
1629	8639	1961
1630	8644	1955
1631	8649	1950
1632	8654	1945
1633	8660	1939
1634	8665	1934
1635	8670	1929
1636	8675	1923
1637	8680	1918
1638	8685	1912
1639	8690	1907
1640	8695	1902
1641	8700	1896
1642	8705	1891
1643	8710	1886
1644	8716	1880
1645	8721	1875
1646	8726	1870
1647	8731	1864
1648	8736	1859
1649	8741	1854
1650	8746	1848
1651	8751	1843
1652	8757	1838
1653	8762	1832
1654	8767	1827
1655	8772	1822
1656	8777	1817
1657	8783	1811
1658	8788	1806
1659	8793	1801
1660	8798	1795
1661	8803	1790
1662	8808	1785
1663	8813	1779
1664	8819	1774
1665	8824	1769
1666	8829	1763
1667	8834	1758
1668	8839	1753
1669	8844	1747
1670	8849	1742
1671	8854	1737
1672	8859	1731
1673	8865	1726
1674	8870	1721
1675	8875	1715
1676	8880	1710
1677	8886	1705
1678	8891	1699
1679	8896	1694
1680	8901	1689
1681	8906	1683
